Name,Variant,Caller,CallerVariant,Count,Depth:Average,Depth:SecondMoment,Depth:Variance,Depth:Sum,Depth:Min,Depth:Max,StartTimeDifference:Average,StartTimeDifference:SecondMoment,StartTimeDifference:Variance,StartTimeDifference:Sum,StartTimeDifference:Min,StartTimeDifference:Max,Width:Average,Width:SecondMoment,Width:Variance,Width:Sum,Width:Min,Width:Max
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.MultiControlledFromOpAndSinglyCtrldOp,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.R1Frac,Controlled,2340,4.96239316239315,44.44102564102564,19.824151602518466,11612,0,14,63.49316239316234,485927.77435897436,482102.41936323093,148574,0,18532,0.0012820512820512827,0.001282051282051282,0.001280955043246622,3,0,1
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.R1Frac,Controlled,Microsoft.Quantum.Canon.ApproximateQFT,Body,1620,3.399999999999999,24.2,12.647807288449666,5508,0,9,8.782098765432105,156.5895061728395,79.51332974934985,14227,0,30,0.0006172839506172869,0.0006172839506172839,0.0006172839506172845,1,0,1
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalH,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip,Body,4622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCminusIX,Body,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRzFrac,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCminusIZ,Body,1213,1,1,0,1213,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZ,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCminusIZ,Body,2426,1,1,0,2426,1,1,15.361500412201146,10760.321929101401,10528.68617077876,37267,1,4666,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalCX,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZZ,Body,6818,0,0,0,0,0,0,1.7280727486066276,28.088589029040776,25.10603592136085,11782,1,76,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZ,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZZ,Body,3409,1,1,0,3409,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZZ,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCminusIZ,Body,1213,1,1,0,1213,1,1,5.092333058532556,153.25886232481452,127.4320616315547,6177,1,76,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCminusIZ,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCminusIX,Body,1213,3.2984336356141757,11.384171475680132,0.5049232870525309,4001,2,4,27.558120362737014,22443.424567188787,21701.86563738814,33428,1,4665,0,0,0,0,0,0
